Wartosc kombinacji
0;199438327
1;186940359
2;178395030
3;170245460
4;162663296
5;155582354
6;148832250
7;142448644
8;136105648
9;130354022
10;124632450
11;119143382
12;113782916
13;108520140
14;103326996
15;98678881
16;94108909
17;89883556
18;85767743
19;81920419
20;78136131
21;74502255
22;71085331
23;67869899
24;64842323
25;61852363
26;58945493
27;56030173
28;53240505
29;50628785
30;48034169
31;45679135
32;43327883
33;41152235
34;38988339
35;37039310
36;35134146
37;33303606
38;31512544
39;29820303
40;28291679
41;26830358
42;25537474
43;24368338
44;23240308
45;22160640
46;21094140
47;20198585
48;19320285
49;18476655
50;17682823
51;17005831
52;16366057
53;15732087
54;15129219
55;14537143
56;13954527
57;13392597
58;12914017
59;12425973
