,Zadanie,Czas wykonania,Termin
0,1,10,1746
1,7,16,196
2,40,18,294
3,142,5,318
4,184,1,68
5,16,15,77
6,5,6,380
7,35,16,241
8,105,10,350
9,17,7,8
10,12,1,153
11,28,20,551
12,8,19,575
13,37,12,427
14,38,11,119
15,23,19,781
16,48,8,435
17,3,19,1339
18,19,8,581
19,25,15,880
20,4,17,1059
21,32,11,628
22,46,16,1306
23,24,2,501
24,9,2,619
25,72,14,882
26,10,16,1301
27,26,16,1202
28,22,12,1666
29,21,19,2396
30,11,11,1631
31,15,10,1555
32,18,5,2098
33,34,8,645
34,13,1,1336
35,36,11,1584
36,27,15,2439
37,2,10,2134
38,6,8,1820
39,50,10,468
40,41,20,2399
41,42,11,958
42,43,13,1166
43,44,15,1586
44,45,2,2385
45,33,1,2323
46,47,20,1806
47,31,4,2104
48,83,16,10
49,56,15,26
50,51,14,602
51,52,15,702
52,53,14,529
53,54,4,44
54,55,17,218
55,67,20,202
56,57,11,1027
57,84,18,247
58,29,16,2223
59,60,10,1206
60,61,16,1120
61,62,8,496
62,70,20,945
63,64,6,1233
64,65,15,1117
65,122,14,123
66,58,13,1452
67,68,14,1669
68,30,2,1875
69,75,13,1077
70,71,5,985
71,87,11,871
72,82,8,812
73,98,2,43
74,130,16,192
75,99,14,510
76,85,7,546
77,115,19,76
78,121,12,234
79,92,17,1076
80,110,4,253
81,88,6,523
82,133,10,22
83,100,14,706
84,59,14,1394
85,20,7,1261
86,132,17,461
87,112,20,911
88,39,19,2374
89,90,6,1061
90,101,11,1695
91,111,14,965
92,103,11,787
93,80,13,1542
94,93,16,1118
95,104,17,1443
96,119,18,1630
97,89,17,2089
98,74,12,2284
99,86,10,1811
100,109,17,1892
101,96,9,1763
102,102,9,952
103,114,14,1575
104,78,20,2480
105,66,17,2252
106,107,6,1529
107,77,1,2109
108,124,15,851
109,73,6,1777
110,76,15,2310
111,94,7,1818
112,113,8,1473
113,143,4,646
114,81,5,2123
115,106,16,1968
116,95,11,2201
117,118,17,1858
118,79,3,2312
119,116,17,2315
120,97,7,2298
121,69,6,2187
122,140,5,551
123,131,3,1046
124,108,16,1910
125,157,5,329
126,127,10,1527
127,128,19,1174
128,192,3,218
129,190,7,377
130,150,14,335
131,172,14,106
132,171,7,372
133,170,12,277
134,135,13,1226
135,136,10,1739
136,137,20,460
137,200,10,380
138,14,2,1804
139,148,10,503
140,141,10,1021
141,125,4,2131
142,117,20,2249
143,161,8,739
144,187,9,551
145,146,7,855
146,147,16,327
147,164,13,510
148,166,12,620
149,159,11,650
150,179,14,392
151,123,3,2439
152,180,17,263
153,195,19,30
154,176,4,1174
155,196,9,738
156,134,17,1659
157,191,16,494
158,152,19,800
159,178,11,853
160,139,12,1601
161,163,14,1599
162,154,14,1526
163,155,5,2009
164,149,4,2143
165,129,11,2048
166,181,16,670
167,168,7,1539
168,188,1,1613
169,189,5,1348
170,194,15,789
171,175,16,1535
172,173,12,1684
173,174,20,1090
174,160,18,1511
175,186,14,1782
176,198,18,1705
177,177,13,1957
178,144,13,1874
179,183,8,1895
180,162,18,1916
181,145,14,2039
182,158,13,2251
183,193,4,2195
184,151,8,2233
185,167,3,2135
186,138,18,2381
187,153,9,2158
188,49,20,2310
189,169,11,2301
190,199,18,2125
191,197,17,2136
192,185,18,2370
193,182,17,2346
194,156,18,2423
195,120,8,2353
196,126,19,2470
197,91,10,2460
198,165,8,2489
199,63,11,2453
