,Zadanie,Czas wykonania,Termin
0,1,10,1746
1,16,15,77
2,3,19,1339
3,4,17,1059
4,5,6,380
5,38,11,119
6,7,16,196
7,8,19,575
8,100,14,706
9,124,15,851
10,112,20,911
11,12,1,153
12,23,19,781
13,9,2,619
14,26,16,1202
15,10,16,1301
16,17,7,8
17,28,20,551
18,19,8,581
19,48,8,435
20,35,16,241
21,40,18,294
22,32,11,628
23,24,2,501
24,25,15,880
25,52,15,702
26,37,12,427
27,51,14,602
28,65,15,1117
29,46,16,1306
30,47,20,1806
31,20,7,1261
32,43,13,1166
33,34,8,645
34,11,11,1631
35,36,11,1584
36,42,11,958
37,27,15,2439
38,29,16,2223
39,21,19,2396
40,41,20,2399
41,22,12,1666
42,53,14,529
43,44,15,1586
44,2,10,2134
45,56,15,26
46,30,2,1875
47,13,1,1336
48,6,8,1820
49,50,10,468
50,33,1,2323
51,45,2,2385
52,62,8,496
53,54,4,44
54,55,17,218
55,143,4,646
56,57,11,1027
57,67,20,202
58,18,5,2098
59,60,10,1206
60,61,16,1120
61,70,20,945
62,58,13,1452
63,64,6,1233
64,83,16,10
65,14,2,1804
66,59,14,1394
67,68,14,1669
68,39,19,2374
69,88,6,523
70,71,5,985
71,72,14,882
72,31,4,2104
73,66,17,2252
74,75,13,1077
75,49,20,2310
76,69,6,2187
77,78,20,2480
78,98,2,43
79,80,13,1542
80,74,12,2284
81,82,8,812
82,93,16,1118
83,84,18,247
84,85,7,546
85,77,1,2109
86,87,11,871
87,105,10,350
88,89,17,2089
89,90,6,1061
90,73,6,1777
91,92,17,1076
92,103,11,787
93,76,15,2310
94,86,10,1811
95,96,9,1763
96,130,16,192
97,184,1,68
98,99,14,510
99,115,19,76
100,110,4,253
101,102,9,952
102,94,7,1818
103,104,17,1443
104,121,12,234
105,132,17,461
106,107,6,1529
107,157,5,329
108,109,17,1892
109,133,10,22
110,111,14,965
111,122,14,123
112,113,8,1473
113,114,14,1575
114,142,5,318
115,200,10,380
116,140,5,551
117,128,19,1174
118,147,16,327
119,95,11,2201
120,137,20,460
121,171,7,372
122,150,14,335
123,148,10,503
124,125,4,2131
125,106,16,1968
126,127,10,1527
127,196,9,738
128,129,11,2048
129,120,8,2353
130,131,3,1046
131,188,1,1613
132,123,3,2439
133,170,12,277
134,135,13,1226
135,146,7,855
136,166,12,620
137,190,7,377
138,192,3,218
139,159,11,650
140,141,10,1021
141,164,13,510
142,172,14,106
143,136,10,1739
144,161,8,739
145,176,4,1174
146,187,9,551
147,152,19,800
148,15,10,1555
149,154,14,1526
150,139,12,1601
151,160,18,1511
152,144,13,1874
153,163,14,1599
154,116,17,2315
155,117,20,2249
156,145,14,2039
157,134,17,1659
158,126,19,2470
159,91,10,2460
160,138,18,2381
161,153,9,2158
162,179,14,392
163,151,8,2233
164,155,5,2009
165,149,4,2143
166,195,19,30
167,168,7,1539
168,181,16,670
169,178,11,853
170,194,15,789
171,180,17,263
172,174,20,1090
173,191,16,494
174,119,18,1630
175,167,3,2135
176,189,5,1348
177,183,8,1895
178,173,12,1684
179,175,16,1535
180,186,14,1782
181,101,11,1695
182,198,18,1705
183,118,17,1858
184,177,13,1957
185,108,16,1910
186,162,18,1916
187,81,5,2123
188,158,13,2251
189,193,4,2195
190,197,17,2136
191,199,18,2125
192,169,11,2301
193,97,7,2298
194,182,17,2346
195,185,18,2370
196,156,18,2423
197,165,8,2489
198,79,3,2312
199,63,11,2453
