,Zadanie,Czas wykonania,Termin
0,1,10,1746
1,7,16,196
2,8,19,575
3,52,15,702
4,180,17,263
5,115,19,76
6,16,15,77
7,3,19,1339
8,4,17,1059
9,5,6,380
10,12,1,153
11,17,7,8
12,9,2,619
13,19,8,581
14,10,16,1301
15,21,19,2396
16,23,19,781
17,2,10,2134
18,15,10,1555
19,20,7,1261
20,26,16,1202
21,11,11,1631
22,13,1,1336
23,24,2,501
24,25,15,880
25,35,16,241
26,14,2,1804
27,28,20,551
28,29,16,2223
29,40,18,294
30,22,12,1666
31,32,11,628
32,33,1,2323
33,34,8,645
34,38,11,119
35,18,5,2098
36,37,12,427
37,43,13,1166
38,31,4,2104
39,27,15,2439
40,36,11,1584
41,42,11,958
42,53,14,529
43,48,8,435
44,44,15,1586
45,54,4,44
46,55,17,218
47,56,15,26
48,67,20,202
49,50,10,468
50,51,14,602
51,57,11,1027
52,62,8,496
53,65,15,1117
54,61,16,1120
55,70,20,945
56,46,16,1306
57,60,10,1206
58,59,14,1394
59,41,20,2399
60,49,20,2310
61,45,2,2385
62,58,13,1452
63,64,6,1233
64,85,7,546
65,47,20,1806
66,75,13,1077
67,68,14,1669
68,72,14,882
69,83,16,10
70,63,11,2453
71,80,13,1542
72,73,6,1777
73,74,12,2284
74,98,2,43
75,66,17,2252
76,84,18,247
77,78,20,2480
78,79,3,2312
79,88,6,523
80,71,5,985
81,82,8,812
82,103,11,787
83,110,4,253
84,81,5,2123
85,76,15,2310
86,87,11,871
87,99,14,510
88,90,6,1061
89,105,10,350
90,93,16,1118
91,102,9,952
92,92,17,1076
93,104,17,1443
94,95,11,2201
95,96,9,1763
96,130,16,192
97,94,7,1818
98,122,14,123
99,100,14,706
100,97,7,2298
101,133,10,22
102,119,18,1630
103,124,15,851
104,132,17,461
105,101,11,1695
106,107,6,1529
107,108,16,1910
108,109,17,1892
109,142,5,318
110,106,16,1968
111,112,20,911
112,113,8,1473
113,114,14,1575
114,150,14,335
115,111,14,965
116,117,20,2249
117,118,17,1858
118,157,5,329
119,116,17,2315
120,121,12,234
121,127,10,1527
122,123,3,2439
123,128,19,1174
124,120,8,2353
125,131,3,1046
126,166,12,620
127,137,20,460
128,125,4,2131
129,126,19,2470
130,129,11,2048
131,171,7,372
132,147,16,327
133,134,17,1659
134,140,5,551
135,135,13,1226
136,146,7,855
137,161,8,739
138,143,4,646
139,148,10,503
140,136,10,1739
141,176,4,1174
142,179,14,392
143,141,10,1021
144,152,19,800
145,145,14,2039
146,144,13,1874
147,138,18,2381
148,149,4,2143
149,164,13,510
150,151,8,2233
151,187,9,551
152,153,9,2158
153,170,12,277
154,155,5,2009
155,159,11,650
156,192,3,218
157,158,13,2251
158,172,14,106
159,160,18,1511
160,190,7,377
161,184,1,68
162,163,14,1599
163,200,10,380
164,30,2,1875
165,196,9,738
166,167,3,2135
167,168,7,1539
168,189,5,1348
169,195,19,30
170,191,16,494
171,77,1,2109
172,188,1,1613
173,181,16,670
174,178,11,853
175,173,12,1684
176,174,20,1090
177,194,15,789
178,175,16,1535
179,139,12,1601
180,154,14,1526
181,86,10,1811
182,6,8,1820
183,162,18,1916
184,156,18,2423
185,165,8,2489
186,169,11,2301
187,183,8,1895
188,193,4,2195
189,198,18,1705
190,89,17,2089
191,186,14,1782
192,177,13,1957
193,199,18,2125
194,197,17,2136
195,185,18,2370
196,69,6,2187
197,182,17,2346
198,39,19,2374
199,91,10,2460
