,Zadanie,Czas wykonania,Termin
0,84,18,247
1,56,15,26
2,17,7,8
3,38,11,119
4,83,16,10
5,16,15,77
6,115,19,76
7,54,4,44
8,67,20,202
9,55,17,218
10,130,16,192
11,7,16,196
12,122,14,123
13,35,16,241
14,170,12,277
15,147,16,327
16,40,18,294
17,171,7,372
18,142,5,318
19,37,12,427
20,12,1,153
21,5,6,380
22,137,20,460
23,48,8,435
24,28,20,551
25,8,19,575
26,50,10,468
27,53,14,529
28,148,10,503
29,51,14,602
30,181,16,670
31,187,9,551
32,52,15,702
33,62,8,496
34,32,11,628
35,34,8,645
36,112,20,911
37,23,19,781
38,24,2,501
39,25,15,880
40,9,2,619
41,70,20,945
42,196,9,738
43,19,8,581
44,82,8,812
45,42,11,958
46,100,14,706
47,72,14,882
48,98,2,43
49,110,4,253
50,85,7,546
51,61,16,1120
52,65,15,1117
53,4,17,1059
54,141,10,1021
55,43,13,1166
56,60,10,1206
57,26,16,1202
58,3,19,1339
59,46,16,1306
60,10,16,1301
61,44,15,1586
62,184,1,68
63,57,11,1027
64,157,5,329
65,105,10,350
66,172,14,106
67,75,13,1077
68,133,10,22
69,80,13,1542
70,88,6,523
71,71,5,985
72,20,7,1261
73,64,6,1233
74,99,14,510
75,58,13,1452
76,2,10,2134
77,200,10,380
78,192,3,218
79,121,12,234
80,124,15,851
81,150,14,335
82,93,16,1118
83,68,14,1669
84,11,11,1631
85,36,11,1584
86,87,11,871
87,103,11,787
88,190,7,377
89,90,6,1061
90,143,4,646
91,164,13,510
92,195,19,30
93,180,17,263
94,102,9,952
95,140,5,551
96,132,17,461
97,179,14,392
98,159,11,650
99,161,8,739
100,14,2,1804
101,111,14,965
102,191,16,494
103,131,3,1046
104,92,17,1076
105,166,12,620
106,41,20,2399
107,13,1,1336
108,146,7,855
109,31,4,2104
110,178,11,853
111,30,2,1875
112,152,19,800
113,128,19,1174
114,174,20,1090
115,47,20,1806
116,86,10,1811
117,135,13,1226
118,29,16,2223
119,49,20,2310
120,33,1,2323
121,79,3,2312
122,113,8,1473
123,119,18,1630
124,69,6,2187
125,104,17,1443
126,59,14,1394
127,175,16,1535
128,127,10,1527
129,107,6,1529
130,15,10,1555
131,114,14,1575
132,134,17,1659
133,118,17,1858
134,101,11,1695
135,176,4,1174
136,160,18,1511
137,139,12,1601
138,144,13,1874
139,22,12,1666
140,194,15,789
141,94,7,1818
142,136,10,1739
143,189,5,1348
144,109,17,1892
145,106,16,1968
146,108,16,1910
147,6,8,1820
148,18,5,2098
149,188,1,1613
150,129,11,2048
151,145,14,2039
152,95,11,2201
153,77,1,2109
154,116,17,2315
155,154,14,1526
156,76,15,2310
157,45,2,2385
158,125,4,2131
159,63,11,2453
160,120,8,2353
161,123,3,2439
162,97,7,2298
163,155,5,2009
164,198,18,1705
165,149,4,2143
166,167,3,2135
167,168,7,1539
168,151,8,2233
169,91,10,2460
170,74,12,2284
171,153,9,2158
172,186,14,1782
173,183,8,1895
174,162,18,1916
175,73,6,1777
176,163,14,1599
177,96,9,1763
178,173,12,1684
179,1,10,1746
180,89,17,2089
181,193,4,2195
182,177,13,1957
183,199,18,2125
184,197,17,2136
185,81,5,2123
186,158,13,2251
187,117,20,2249
188,66,17,2252
189,182,17,2346
190,39,19,2374
191,169,11,2301
192,185,18,2370
193,138,18,2381
194,21,19,2396
195,156,18,2423
196,126,19,2470
197,78,20,2480
198,27,15,2439
199,165,8,2489
