,Zadanie,Czas wykonania,Termin
0,1,10,1746
1,28,20,551
2,3,19,1339
3,50,10,468
4,5,6,380
5,16,15,77
6,7,16,196
7,8,19,575
8,100,14,706
9,85,7,546
10,179,14,392
11,12,1,153
12,23,19,781
13,17,7,8
14,35,16,241
15,25,15,880
16,19,8,581
17,65,15,1117
18,26,16,1202
19,10,16,1301
20,4,17,1059
21,22,12,1666
22,11,11,1631
23,24,2,501
24,15,10,1555
25,9,2,619
26,21,19,2396
27,20,7,1261
28,29,16,2223
29,2,10,2134
30,6,8,1820
31,32,11,628
32,13,1,1336
33,34,8,645
34,27,15,2439
35,30,2,1875
36,37,12,427
37,38,11,119
38,33,1,2323
39,40,18,294
40,51,14,602
41,42,11,958
42,43,13,1166
43,44,15,1586
44,36,11,1584
45,46,16,1306
46,18,5,2098
47,48,8,435
48,56,15,26
49,67,20,202
50,61,16,1120
51,52,15,702
52,53,14,529
53,54,4,44
54,55,17,218
55,72,14,882
56,47,20,1806
57,83,16,10
58,84,18,247
59,60,10,1206
60,70,20,945
61,62,8,496
62,58,13,1452
63,57,11,1027
64,75,13,1077
65,88,6,523
66,59,14,1394
67,80,13,1542
68,68,14,1669
69,14,2,1804
70,71,5,985
71,66,17,2252
72,64,6,1233
73,49,20,2310
74,39,19,2374
75,76,15,2310
76,69,6,2187
77,78,20,2480
78,79,3,2312
79,45,2,2385
80,73,6,1777
81,82,8,812
82,41,20,2399
83,74,12,2284
84,77,1,2109
85,86,10,1811
86,87,11,871
87,98,2,43
88,89,17,2089
89,90,6,1061
90,63,11,2453
91,92,17,1076
92,93,16,1118
93,94,7,1818
94,95,11,2201
95,96,9,1763
96,91,10,2460
97,105,10,350
98,99,14,510
99,81,5,2123
100,101,11,1695
101,102,9,952
102,103,11,787
103,104,17,1443
104,115,19,76
105,122,14,123
106,107,6,1529
107,108,16,1910
108,109,17,1892
109,110,4,253
110,111,14,965
111,112,20,911
112,113,8,1473
113,114,14,1575
114,130,16,192
115,106,16,1968
116,117,20,2249
117,118,17,1858
118,119,18,1630
119,120,8,2353
120,121,12,234
121,132,17,461
122,123,3,2439
123,124,15,851
124,125,4,2131
125,116,17,2315
126,127,10,1527
127,128,19,1174
128,129,11,2048
129,140,5,551
130,131,3,1046
131,142,5,318
132,133,10,22
133,126,19,2470
134,135,13,1226
135,136,10,1739
136,137,20,460
137,138,18,2381
138,139,12,1601
139,150,14,335
140,141,10,1021
141,157,5,329
142,143,4,646
143,134,17,1659
144,145,14,2039
145,146,7,855
146,147,16,327
147,148,10,503
148,149,4,2143
149,159,11,650
150,144,13,1874
151,152,19,800
152,153,9,2158
153,154,14,1526
154,155,5,2009
155,156,18,2423
156,171,7,372
157,158,13,2251
158,184,1,68
159,151,8,2233
160,161,8,739
161,162,18,1916
162,172,14,106
163,164,13,510
164,165,8,2489
165,166,12,620
166,167,3,2135
167,168,7,1539
168,189,5,1348
169,170,12,277
170,180,17,263
171,192,3,218
172,173,12,1684
173,190,7,377
174,200,10,380
175,176,4,1174
176,196,9,738
177,178,11,853
178,195,19,30
179,187,9,551
180,181,16,670
181,188,1,1613
182,194,15,789
183,191,16,494
184,31,4,2104
185,163,14,1599
186,174,20,1090
187,160,18,1511
188,175,16,1535
189,183,8,1895
190,186,14,1782
191,198,18,1705
192,177,13,1957
193,193,4,2195
194,199,18,2125
195,197,17,2136
196,97,7,2298
197,169,11,2301
198,185,18,2370
199,182,17,2346
