,Zadanie,Czas wykonania,Termin
0,1,10,1746
1,7,16,196
2,3,19,1339
3,40,18,294
4,5,6,380
5,16,15,77
6,105,10,350
7,8,19,575
8,23,19,781
9,159,11,650
10,140,5,551
11,12,1,153
12,28,20,551
13,4,17,1059
14,25,15,880
15,26,16,1202
16,17,7,8
17,35,16,241
18,19,8,581
19,10,16,1301
20,61,16,1120
21,22,12,1666
22,9,2,619
23,24,2,501
24,20,7,1261
25,15,10,1555
26,27,15,2439
27,18,5,2098
28,11,11,1631
29,21,19,2396
30,6,8,1820
31,32,11,628
32,55,17,218
33,34,8,645
34,2,10,2134
35,36,11,1584
36,37,12,427
37,38,11,119
38,67,20,202
39,50,10,468
40,51,14,602
41,42,11,958
42,43,13,1166
43,44,15,1586
44,71,5,985
45,115,19,76
46,83,16,10
47,48,8,435
48,84,18,247
49,54,4,44
50,56,15,26
51,52,15,702
52,53,14,529
53,70,20,945
54,72,14,882
55,47,20,1806
56,62,8,496
57,88,6,523
58,65,15,1117
59,57,11,1027
60,60,10,1206
61,46,16,1306
62,41,20,2399
63,58,13,1452
64,98,2,43
65,39,19,2374
66,29,16,2223
67,68,14,1669
68,33,1,2323
69,64,6,1233
70,45,2,2385
71,30,2,1875
72,99,14,510
73,14,2,1804
74,31,4,2104
75,85,7,546
76,130,16,192
77,122,14,123
78,59,14,1394
79,87,11,871
80,75,13,1077
81,82,8,812
82,92,17,1076
83,78,20,2480
84,49,20,2310
85,86,10,1811
86,74,12,2284
87,69,6,2187
88,66,17,2252
89,90,6,1061
90,77,1,2109
91,100,14,706
92,93,16,1118
93,94,7,1818
94,110,4,253
95,96,9,1763
96,121,12,234
97,132,17,461
98,73,6,1777
99,133,10,22
100,101,11,1695
101,102,9,952
102,103,11,787
103,104,17,1443
104,112,20,911
105,137,20,460
106,107,6,1529
107,89,17,2089
108,109,17,1892
109,157,5,329
110,111,14,965
111,142,5,318
112,113,8,1473
113,114,14,1575
114,79,3,2312
115,13,1,1336
116,108,16,1910
117,118,17,1858
118,119,18,1630
119,63,11,2453
120,97,7,2298
121,190,7,377
122,106,16,1968
123,124,15,851
124,125,4,2131
125,81,5,2123
126,127,10,1527
127,128,19,1174
128,123,3,2439
129,91,10,2460
130,131,3,1046
131,150,14,335
132,143,4,646
133,116,17,2315
134,135,13,1226
135,136,10,1739
136,192,3,218
137,138,18,2381
138,139,12,1601
139,120,8,2353
140,141,10,1021
141,126,19,2470
142,187,9,551
143,134,17,1659
144,184,1,68
145,146,7,855
146,147,16,327
147,148,10,503
148,149,4,2143
149,170,12,277
150,144,13,1874
151,152,19,800
152,196,9,738
153,145,14,2039
154,155,5,2009
155,164,13,510
156,166,12,620
157,171,7,372
158,151,8,2233
159,191,16,494
160,161,8,739
161,194,15,789
162,154,14,1526
163,172,14,106
164,200,10,380
165,168,7,1539
166,167,3,2135
167,176,4,1174
168,179,14,392
169,178,11,853
170,181,16,670
171,80,13,1542
172,188,1,1613
173,180,17,263
174,189,5,1348
175,195,19,30
176,175,16,1535
177,173,12,1684
178,174,20,1090
179,193,4,2195
180,163,14,1599
181,160,18,1511
182,183,8,1895
183,198,18,1705
184,186,14,1782
185,177,13,1957
186,162,18,1916
187,129,11,2048
188,153,9,2158
189,197,17,2136
190,199,18,2125
191,95,11,2201
192,117,20,2249
193,158,13,2251
194,76,15,2310
195,169,11,2301
196,165,8,2489
197,182,17,2346
198,156,18,2423
199,185,18,2370
