Wartosc kombinacji
0;199438327
1;190767057
2;182208120
3;174017960
4;166381994
5;159193146
6;152160945
7;145608035
8;139189295
9;133139555
10;127386279
11;121844671
12;116395634
13;111102128
14;105855224
15;101154744
16;96575072
17;92258479
18;88143606
19;84150925
20;80314327
21;76595010
22;72941625
23;69520441
24;66275185
25;63248869
26;60212721
27;57272259
28;54467743
29;51689725
30;49074897
31;46662794
32;44261168
33;42067060
34;39881600
35;37904137
36;35929636
37;34025576
38;32220276
39;30490018
40;28774111
41;27239751
42;25805246
43;24504578
44;23457938
45;22400918
46;21394098
47;20459479
48;19546389
49;18713499
50;17923203
51;17239459
52;16569633
53;15956641
54;15347265
55;14741127
56;14155133
57;13589525
58;13067931
59;12579251
60;12090343
61;11630391
62;11193306
63;10772096
64;10360506
65;9967017
66;9593165
67;9208555
68;8846267
69;8501126
70;8165730
71;7888860
72;7630588
73;7400124
74;7183470
75;6984566
76;6788526
77;6593926
78;6397338
79;6217570
80;6029906
81;5874754
82;5725060
83;5589588
84;5465940
85;5350528
86;5237812
87;5127012
88;5022868
89;4920825
90;4827313
91;4736839
92;4647751
93;4560646
94;4475266
95;4394261
96;4317521
97;4243629
98;4177993
99;4114636
